Bioinformatics step,Control (totals),Sample (totals),Blood,Tick,Tissue
Sum input,5534288,96969355,35160160,24844688,36964507
Mean input,85143,152228,185053,95556,197671
Sum filtered,3922421,70048790,24929182,19809370,25310238
Mean filtered,60345,109967,131206,76190,135349
Filtered %,70.90%,72.20%,70.90%,79.70%,68.50%
Sum denoised,3906305,69477650,24758558,19753200,24965892
Mean denoised,60097,109070,130308,75974,133507
Sum merged,3815914,67183779,24028959,19127172,24027648
Mean merged,58706,105469,126468,73566,128490
Merged %,69.00%,69.30%,68.30%,77.00%,65.00%
Sum non-chimeric,3719634,64186307,23061496,18368918,22755893
Mean non-chimeric,57225,100763,121376,70650,121689
Input non-chimeric %,67.20%,66.20%,65.60%,73.90%,61.60%